source_utility,document_type,cliente_nombre,no_servicio,cuenta,rmu,rpu,limite_pago,corte_a_partir,periodo_inicio,periodo_fin,tarifa,medidor,multiplicador,no_hilos,lectura_actual_kwh,lectura_anterior_kwh,kwh_total,importe_total,cargo_fijo,subtotal_energia,subtotal,iva,fac_del_periodo,total_linea,tiene_consumo_historico,historico_count,file_path,file_name,mall_folder,recibos_subgroup,recibos_year_folder,recibos_year,parse_status,parse_error,text_len,pdfplumber_text_len,used_ocr,text_source,text_source_reason,extracted_pages,parsed_at
CFE,cfe_bill,ALIANZA Y DESARROLLO DE NEGOCI,671240253552,32DK04G013531230,29040240229,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,GCR554,1,3,51718,38442,13276,63588,80.22,54736.95,54817.17,8770.75,63587.92,63587.92,True,5,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/KIMUUL.pdf,KIMUUL.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,3246,3246,False,pdfplumber,ok,2,2026-03-03T20:16:23
CFE,cfe_bill,DOMINGUEZ VILLALOBOS JULIO CES,671170803797,32DK04G013530240,29040170823,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,RXT203,1,3,3313,2513,800,3920,80.22,3298.40,3378.62,540.58,3919.20,3919.20,True,11,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/KLIPPERS.pdf,KLIPPERS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,3458,3458,False,pdfplumber,ok,2,2026-03-03T20:16:23
CFE,cfe_bill,DIUZ HNOS S.A DE C.V,671231251521,32DK04G013530448,29040231220,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,GDBT,CGU412MULTIPLICADOR,1,3,,,,,802.24,49739.36,49278.06,7884.49,,57163.33,False,0,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/LA BELLA PANDITA.pdf,LA BELLA PANDITA.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5168,5168,False,pdfplumber,ok,2,2026-03-03T20:16:24
CFE,cfe_bill,OPERADORES DE MEXICO EAI,671170802847,32DK04G013530080,29040170820,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,394AB4,1,3,29966,27124,2842,13685,80.22,11717.58,11797.80,1887.65,13685.45,13685.45,True,11,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/LACOSTE.pdf,LACOSTE.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5135,5135,False,pdfplumber,ok,2,2026-03-03T20:16:24
CFE,cfe_bill,GRUPO ANDIC SA DE CV,671170804840,32DK04G013530210,29040170830,,2025-09-07,2025-09-08,2025-06-20,2025-08-20,PDBT,398AB8,1,3,99815,97812,2003,9712,80.22,8292.22,8372.44,1339.59,9712.03,9712.03,True,11,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/LEVIS.pdf,LEVIS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,4983,4983,False,pdfplumber,ok,2,2026-03-03T20:16:25
CFE,cfe_bill,OPERADORES DE MEXICO EAI,671221250712,32DK04G013531353,29040221208,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,277RK1,1,3,18413,17426,987,4813,80.22,4069.40,4149.62,663.94,4813.56,4813.56,True,11,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/LIDS.pdf,LIDS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5082,5082,False,pdfplumber,ok,2,2026-03-03T20:16:25
IBERDROLA,iberdrola_cfdi,,,0104954327,,MX671170403276,,,,,GDMTH,,,,,,403557,,401.1200,,,,,,False,0,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/LIVERPOOL.pdf,LIVERPOOL.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5877,5877,False,pdfplumber,ok_iberdrola,2,2026-03-03T20:16:26
CFE,cfe_bill,GOMEZ FERNANDEZ GUADALUPE MA D,671240650080,79DK04G014150024,29040240603,,2025-08-09,2025-08-10,2025-06-25,2025-07-25,GDMTO,GCR507MULTIPLICADOR,1,3,,,,,395.84,38171.55,39928.82,6388.61,,130159.70,False,0,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/MAIZ & TEPACHE.pdf,MAIZ & TEPACHE.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,3634,3634,False,pdfplumber,ok,2,2026-03-03T20:16:26
CFE,cfe_bill,,671210151844,32DK04G013530031,29040210114,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,76730E,1,3,,,,,80.22,5326.92,5407.14,865.14,6272.28,,False,0,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/MAR ESTILISMO.pdf,MAR ESTILISMO.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,4253,10663,True,ocr,cid_garbage(1065),2,2026-03-03T20:16:30
CFE,cfe_bill,FREE AND GREEN SA DE CV,671200300833,79DK04G014150022,29040200305,,2025-10-11,2025-10-12,2025-08-27,2025-09-29,GDMTO,U224ATMULTIPLICADOR,1,3,,,,,435.43,17948.18,18338.75,2934.20,,45109.28,False,0,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/MC CARTHYS.pdf,MC CARTHYS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,3606,3606,False,pdfplumber,ok,2,2026-03-03T20:16:31
CFE,cfe_bill,CERVANTES RIOS ANDREA,671171106909,32DK04G013530441,29040171114,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,395RRU,1,3,15121,12265,2856,13752,80.22,11775.28,11855.50,1896.88,13752.38,13752.38,True,11,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/MICHELLE.pdf,MICHELLE.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5146,5146,False,pdfplumber,ok,2,2026-03-03T20:16:31
CFE,cfe_bill,MUNOZ FLORIO MARTHA ELENA,671231153294,32DK04G013532350,29040231128,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,398RRU,1,3,71646,68905,2741,13202,80.22,11301.14,11381.36,1821.02,13202.38,13202.38,True,11,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/MONKEY PAPAS.pdf,MONKEY PAPAS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,3511,3511,False,pdfplumber,ok,2,2026-03-03T20:16:32
CFE,cfe_bill,GUERRA MENDIVIL JOSE HUMBERTO,671221251361,32DK04G013531371,29040221228,,2025-09-07,2025-09-08,2025-06-20,2025-08-20,PDBT,76T10E,1,3,37104,34623,2481,12007,80.22,10271.09,10351.31,1656.21,12007.52,12007.52,True,11,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/NACHOS.pdf,NACHOS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5052,5052,False,pdfplumber,ok,2,2026-03-03T20:16:32
